iter	RMSE
0	0.2876533711
1	0.2810760321
2	0.2751325929
3	0.2700483811
4	0.2654333459
5	0.2615332892
6	0.2584305072
7	0.255593256
8	0.2529735606
9	0.2509886246
10	0.2488317748
11	0.2472614526
12	0.245727671
13	0.2445334203
14	0.2431613243
15	0.2421816157
16	0.2408623773
17	0.2399150047
18	0.2390124094
19	0.238274762
20	0.2372028038
21	0.2367407283
22	0.236199824
23	0.2356690684
24	0.2350858871
25	0.2345731261
26	0.2340465654
27	0.2334493246
28	0.2329706073
29	0.2326164983
30	0.2319415361
31	0.231622707
32	0.2312315359
33	0.2309003035
34	0.2304743494
35	0.2302412837
36	0.2297607857
37	0.2292263421
38	0.2287060604
39	0.2283095214
40	0.2279903833
41	0.227551245
42	0.2273052833
43	0.2268811245
44	0.2266865817
45	0.2264665292
46	0.2262518177
47	0.2260198145
48	0.2254854207
49	0.2249933228
50	0.2246341284
51	0.2240344829
52	0.2238590047
53	0.2233021333
54	0.222979954
55	0.222660879
56	0.2224127732
57	0.2216920164
58	0.2214253117
59	0.2211530846
60	0.2209319463
61	0.2206279137
62	0.2204416563
63	0.2202822196
64	0.2201143585
65	0.2198531947
66	0.219703682
67	0.2194449566
68	0.21923018
69	0.2190423044
70	0.2188122411
71	0.2185606906
72	0.2182303882
73	0.2179398072
74	0.2174637289
75	0.2173305728
76	0.2167627577
77	0.2163183247
78	0.2160160403
79	0.2158072197
80	0.2156520574
81	0.2154518974
82	0.2149582364
83	0.2145652759
84	0.214322303
85	0.2140365507
86	0.213706813
87	0.2135126288
88	0.2131013089
89	0.2127996603
90	0.2124046215
91	0.212256264
92	0.2118857098
93	0.2117019074
94	0.2112685743
95	0.2110465413
96	0.2108381661
97	0.2105937209
98	0.2103836441
99	0.2101009749
