iter	Passed	Remaining
0	70	13965
1	139	13802
2	212	13941
3	285	13974
4	355	13874
5	428	13841
6	504	13899
7	632	15187
8	735	15606
9	828	15750
10	910	15643
11	989	15498
12	1071	15405
13	1169	15537
14	1267	15638
15	1358	15625
16	1441	15514
17	1522	15392
18	1598	15232
19	1676	15089
20	1761	15010
21	1850	14971
22	1936	14902
23	2017	14795
24	2097	14680
25	2173	14544
26	2244	14380
27	2314	14219
28	2388	14082
29	2461	13947
30	2533	13813
31	2605	13677
32	2674	13536
33	2745	13403
34	2814	13269
35	2882	13133
36	2953	13010
37	3022	12883
38	3092	12767
39	3160	12643
40	3229	12524
41	3297	12406
42	3365	12288
43	3433	12174
44	3505	12075
45	3575	11969
46	3645	11866
47	3714	11762
48	3785	11666
49	3860	11582
50	3934	11494
51	4005	11399
52	4075	11302
53	4144	11206
54	4214	11110
55	4283	11014
56	4353	10920
57	4421	10824
58	4490	10731
59	4562	10645
60	4631	10553
61	4701	10465
62	4772	10378
63	4845	10296
64	4920	10218
65	4991	10133
66	5062	10049
67	5138	9974
68	5213	9897
69	5287	9820
70	5366	9750
71	5445	9681
72	5524	9611
73	5598	9531
74	5672	9454
75	5747	9377
76	5819	9295
77	5888	9210
78	5959	9127
79	6034	9052
80	6106	8971
81	6183	8898
82	6259	8823
83	6332	8744
84	6408	8670
85	6480	8589
86	6551	8509
87	6623	8429
88	6700	8356
89	6776	8282
90	6849	8204
91	6922	8126
92	6995	8048
93	7069	7971
94	7140	7892
95	7214	7815
96	7290	7741
97	7363	7663
98	7434	7585
99	7508	7508
100	7585	7435
101	7661	7361
102	7733	7283
103	7808	7208
104	7881	7130
105	7951	7050
106	8025	6975
107	8097	6898
108	8168	6819
109	8239	6741
110	8310	6663
111	8381	6585
112	8451	6506
113	8521	6428
114	8593	6352
115	8664	6274
116	8733	6195
117	8806	6119
118	8882	6045
119	8957	5971
120	9028	5894
121	9099	5817
122	9170	5741
123	9241	5663
124	9311	5586
125	9383	5510
126	9453	5433
127	9524	5357
128	9593	5280
129	9662	5202
130	9732	5126
131	9801	5049
132	9870	4972
133	9942	4897
134	10012	4820
135	10079	4743
136	10149	4667
137	10219	4591
138	10290	4516
139	10360	4440
140	10431	4364
141	10504	4290
142	10579	4216
143	10654	4143
144	10728	4069
145	10801	3994
146	10873	3920
147	10945	3845
148	11017	3771
149	11089	3696
150	11160	3621
151	11237	3548
152	11308	3473
153	11377	3398
154	11447	3323
155	11516	3248
156	11585	3173
157	11654	3098
158	11724	3023
159	11795	2948
160	11865	2874
161	11940	2800
162	12013	2726
163	12083	2652
164	12155	2578
165	12228	2504
166	12298	2430
167	12368	2355
168	12437	2281
169	12507	2207
170	12578	2133
171	12650	2059
172	12724	1985
173	12799	1912
174	12874	1839
175	12961	1767
176	13048	1695
177	13135	1623
178	13223	1551
179	13304	1478
180	13384	1405
181	13468	1332
182	13544	1258
183	13619	1184
184	13690	1110
185	13759	1035
186	13828	961
187	13900	887
188	13969	813
189	14038	738
190	14108	664
191	14177	590
192	14247	516
193	14316	442
194	14386	368
195	14458	295
196	14532	221
197	14610	147
198	14688	73
199	14761	0
